Pin Number,Pin ID,Custom Name,Function,Direction,Latch,Open Drain,PIO Interrupt,Pull Up,Pull Down,Glitch/Debounce Filter,Slew Rate Control
1,PC20,Alarm_LED,GPIO,Out,Low,No,Disabled,No,No,Glitch Filter,0x0
2,PC21,Power_LED,GPIO,Out,Low,No,Disabled,No,No,Glitch Filter,0x0
3,PC22,,Available,In,,,,,,,
4,PD0,,Available,In,,,,,,,
5,PA8,,Available,In,,,,,,,
6,PA9,,Available,In,,,,,,,
7,PD3,,Available,In,,,,,,,
20,PD16,,Available,In,,,,,,,
22,PD17,,Available,In,,,,,,,
23,PD18,,Available,In,,,,,,,
24,PD19,,Available,In,,,,,,,
25,PA10,Pulse_Input,GPIO,In,n/a,No,Raising Edge,No,No,Glitch Filter,0x0
26,PA11,Pulse_Output,GPIO,Out,Low,No,Disabled,No,No,Glitch Filter,0x0
27,PA2,,Available,In,,,,,,,
28,PA3,,Available,In,,,,,,,
29,PA4,DLMS_RS485_TX,FLEXCOM0_IO0,n/a,n/a,No,Disabled,No,No,Glitch Filter,0x0
30,PA5,DLMS_RS485_RX,FLEXCOM0_IO1,n/a,n/a,No,Disabled,No,No,Glitch Filter,0x0
31,PA6,,Available,In,,,,,,,
32,PA7,,Available,In,,,,,,,
33,PA16,Debug_UART_TX,FLEXCOM3_IO0,n/a,n/a,No,Disabled,No,No,Glitch Filter,0x0
34,PA17,Debug_UART_RX,FLEXCOM3_IO1,n/a,n/a,No,Disabled,No,No,Glitch Filter,0x0
35,PA18,PLC_GPIO_PA18,GPIO,In,n/a,No,Disabled,No,No,Glitch Filter,0x0
36,PA19,PLC_GPIO_PA19,GPIO,In,n/a,No,Disabled,No,No,Glitch Filter,0x0
37,PA12,PLC_GPIO_PA12,GPIO,In,n/a,No,Disabled,No,No,Glitch Filter,0x0
38,PA13,PLC_GPIO_PA13,GPIO,In,n/a,No,Disabled,No,No,Glitch Filter,0x0
39,PA14,,Available,In,,,,,,,
40,PA15,Select_Btn,GPIO,In,n/a,No,Falling Edge,No,No,Disabled,0x0
42,PD1,DLMS_OPTICAL_RX,UART_URXD,n/a,n/a,No,Disabled,No,No,Glitch Filter,0x0
43,PD2,DLMS_OPTICAL_TX,UART_UTXD,n/a,n/a,No,Disabled,No,No,Glitch Filter,0x0
